Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/19,-,27/14,-,-,12/5
2024,7/5,-,7/5,-,-,-
2023,18/8,-,13/5,-,-,5/3
2022,12/4,-,5/2,-,-,7/2
2021,2/2,-,2/2,-,-,-
