Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,83/87,27/29,48/48,6/8,2/2,-
2024,12/19,3/7,6/9,1/1,2/2,-
2023,29/23,5/4,21/14,3/5,-,-
2022,5/6,-,5/6,-,-,-
2021,8/5,-,8/5,-,-,-
2019,6/4,6/2,0/2,-,-,-
2018,10/15,4/7,5/7,1/1,-,-
2017,5/6,1/2,3/3,1/1,-,-
2016,7/5,7/4,0/1,-,-,-
2015,1/3,1/2,0/1,-,-,-
2014,0/1,0/1,-,-,-,-
