Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/31,-,24/23,2/2,-,8/6
2024,10/5,-,10/4,0/1,-,-
2023,1/2,-,1/2,-,-,-
2022,19/16,-,11/10,-,-,8/6
2021,2/3,-,2/3,-,-,-
2019,0/2,-,0/2,-,-,-
2018,2/2,-,0/1,2/1,-,-
2017,0/1,-,0/1,-,-,-
