Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/32,27/22,4/6,-,-,2/4
2024,0/2,0/2,-,-,-,-
2023,17/16,17/12,-,-,-,0/4
2022,11/9,8/6,1/3,-,-,2/0
2021,5/5,2/2,3/3,-,-,-
