Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,31/35,1/2,30/33,-,-,-
2024,7/13,1/2,6/11,-,-,-
2023,15/12,-,15/12,-,-,-
2022,9/10,-,9/10,-,-,-
