Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Shenzhen 2 (China),hard,header
15.10. 07:40,Blanchet U.,1,6^4,7^8,6^8,,,15,12,53%,90% (54/60),62% (33/53),100% (1/1),16% (11/69),33% (15/46),0% (0/0),5,77% (87/113),23% (26/115),50% (113/228),3,100% (18/18),0% (0/18),50% (18/36),[],[],[],[],[],1.40
15.10. 07:40,Ramanathan R.,2,7^7,6^6,7^10,,,25,6,60%,84% (58/69),67% (31/46),0% (0/0),10% (6/60),38% (20/53),0% (0/1),7,77% (89/115),23% (26/113),50% (115/228),3,100% (18/18),0% (0/18),50% (18/36),[],[],[],[],[],2.81
CHALLENGER MEN - SINGLES :  Hangzhou (China),hard,header
08.10. 12:50,Blanchet U.,1,6,6^6,4,,,9,5,54%,75% (47/63),47% (25/53),77% (10/13),31% (20/64),50% (17/34),27% (3/11),6,62% (72/116),38% (37/98),51% (109/214),3,81% (13/16),20% (3/15),52% (16/31),"['3', '1']","['1', '0', '6', '5']",[],[],[],2.61
08.10. 12:50,Walton A.,2,3,7^8,6,,,7,5,65%,69% (44/64),50% (17/34),73% (8/11),25% (16/63),53% (28/53),23% (3/13),5,62% (61/98),38% (44/116),49% (105/214),3,80% (12/15),19% (3/16),48% (15/31),[],"['3', '3', '6', '6']","['2', '1']",[],[],1.45
ATP - SINGLES :  Shanghai (China) - Qualification,hard,header
30.09. 16:45,Blanchet U.,1,4,6,4,,,7,7,59%,69% (37/54),55% (21/38),67% (6/9),24% (12/49),42% (16/38),33% (2/6),29,33,71% (15/21),5,63% (58/92),32% (28/87),48% (86/179),3,80% (12/15),13% (2/15),47% (14/30),[],"['2', '0', '6', '4']",[],[],[],1.23
30.09. 16:45,Ramanathan R.,2,6,4,6,,,10,7,56%,76% (37/49),58% (22/38),67% (4/6),31% (17/54),45% (17/38),33% (3/9),34,38,57% (26/46),6,68% (59/87),37% (34/92),52% (93/179),3,87% (13/15),20% (3/15),53% (16/30),"['5', '4']","['2', '3']","['1', '0']",[],[],3.90
CHALLENGER MEN - SINGLES :  St. Tropez (France),hard,header
21.09. 19:25,Blanchet U.,0,4,5,,,,2,3,62%,66% (27/41),52% (13/25),57% (4/7),28% (16/57),46% (6/13),17% (1/6),6,61% (40/66),31% (22/70),46% (62/136),1,73% (8/11),9% (1/11),41% (9/22),"['1', '1']",[],[],[],[],2.14
21.09. 19:25,Brouwer G.,2,6,7,,,,3,0,81%,72% (41/57),54% (7/13),83% (5/6),34% (14/41),48% (12/25),43% (3/7),6,69% (48/70),39% (26/66),54% (74/136),3,91% (10/11),27% (3/11),59% (13/22),"['1', '0', '2', '1']","['6', '5']",[],[],[],1.66
20.09. 22:15,Blanchet U.,2,6,6,,,,1,1,69%,80% (28/35),56% (9/16),0% (0/0),31% (8/26),53% (8/15),60% (3/5),10,73% (37/51),39% (16/41),58% (53/92),5,100% (9/9),38% (3/8),71% (12/17),"['3', '1', '5', '1']","['2', '1']",[],[],[],2.38
20.09. 22:15,Droguet T.,0,1,4,,,,5,1,63%,69% (18/26),47% (7/15),40% (2/5),20% (7/35),44% (7/16),0% (0/0),5,61% (25/41),27% (14/51),42% (39/92),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.54
19.09. 13:40,Blanchet U.,2,6,6,,,,4,3,53%,73% (27/37),55% (18/33),88% (7/8),34% (11/32),50% (12/24),38% (3/8),12,64% (45/70),41% (23/56),54% (68/126),4,90% (9/10),33% (3/9),63% (12/19),"['2', '2', '4', '2']","['2', '1']",[],[],[],2.14
19.09. 13:40,Blockx A.,0,3,4,,,,4,1,57%,66% (21/32),50% (12/24),63% (5/8),27% (10/37),45% (15/33),13% (1/8),6,59% (33/56),36% (25/70),46% (58/126),2,67% (6/9),10% (1/10),37% (7/19),"['2', '1']",[],[],[],[],1.67
16.09. 20:50,Blanchet U.,2,7^9,4,6,,,3,3,56%,90% (44/49),61% (23/38),0% (0/1),18% (11/61),53% (19/36),33% (1/3),7,77% (67/87),31% (30/97),53% (97/184),3,94% (15/16),7% (1/15),52% (16/31),[],[],"['5', '3']",[],[],1.48
16.09. 20:50,Janvier M.,1,6^7,6,3,,,18,5,63%,82% (50/61),47% (17/36),67% (2/3),10% (5/49),39% (15/38),100% (1/1),8,69% (67/97),23% (20/87),47% (87/184),3,93% (14/15),6% (1/16),48% (15/31),[],"['4', '3']",[],[],[],2.56
CHALLENGER MEN - SINGLES :  Cassis (France),hard,header
CHALLENGER MEN - SINGLES :  Cassis (France),hard,header
03.09. 17:25,Blanchet U.,1,7^7,2,6^4,,,13,5,56%,61% (43/70),52% (28/54),67% (10/15),24% (13/55),50% (29/58),60% (3/5),5,57% (71/124),37% (42/113),48% (113/237),3,69% (11/16),19% (3/16),44% (14/32),"['2', '0']","['2', '5']","['4', '5']",[],[],2.38
03.09. 17:25,Cilic M.,2,6^5,6,7^7,,,17,11,49%,76% (42/55),50% (29/58),40% (2/5),39% (27/70),48% (26/54),33% (5/15),8,63% (71/113),43% (53/124),52% (124/237),5,81% (13/16),31% (5/16),56% (18/32),"['3', '4']","['2', '0', '4', '0', '6', '2']","['4', '2']",[],[],1.55
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
