Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,179/130,65/35,88/70,24/20,2/5,-
2024,25/26,4/6,15/13,4/2,2/5,-
2023,40/31,12/8,24/14,4/9,-,-
2022,41/27,14/6,15/15,12/6,-,-
2021,40/16,27/7,9/6,4/3,-,-
2020,17/13,7/5,10/8,-,-,-
2019,6/10,1/2,5/8,-,-,-
2018,9/4,-,9/4,-,-,-
2017,0/1,0/1,-,-,-,-
2016,1/2,-,1/2,-,-,-
