Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,160/90,0/1,133/75,27/14,-,-
2024,24/19,-,22/18,2/1,-,-
2023,34/18,-,26/14,8/4,-,-
2022,40/16,-,32/11,8/5,-,-
2021,30/12,0/1,30/11,-,-,-
2020,4/4,-,4/4,-,-,-
2019,20/12,-,18/11,2/1,-,-
2017,0/1,-,0/1,-,-,-
2016,2/1,-,-,2/1,-,-
2015,2/3,-,0/2,2/1,-,-
2014,3/2,-,0/1,3/1,-,-
2013,1/1,-,1/1,-,-,-
2012,0/1,-,0/1,-,-,-
