Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,67/64,37/37,30/24,-,-,0/3
2024,22/15,9/8,13/7,-,-,-
2023,27/27,18/15,9/9,-,-,0/3
2022,6/11,3/5,3/6,-,-,-
2018,1/2,1/2,-,-,-,-
2017,11/7,6/5,5/2,-,-,-
2016,0/1,0/1,-,-,-,-
2015,0/1,0/1,-,-,-,-
