Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,448/334,342/235,36/45,65/50,4/4,1/0
2024,35/24,35/24,-,-,-,-
2023,18/21,15/16,3/5,-,-,-
2022,27/32,24/25,2/5,1/2,-,-
2021,33/28,22/15,4/7,6/5,1/1,-
2020,12/15,9/10,1/4,1/1,-,1/0
2019,54/29,33/14,6/6,14/7,1/2,-
2018,55/33,40/22,10/7,5/4,-,-
2017,34/19,28/16,1/2,5/1,-,-
2016,44/40,35/26,1/2,8/12,-,-
2015,57/36,41/24,3/2,13/10,-,-
2014,51/30,43/26,-,8/4,-,-
2013,25/23,14/14,5/5,4/3,2/1,-
2012,1/2,1/1,-,0/1,-,-
2011,2/1,2/1,-,-,-,-
2010,0/1,0/1,-,-,-,-
