Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Sabadell 2 (Spain),clay,header
28.09. 15:10,Mager G.,0,6^6,,,,,"['2', '1']",[],[],[],[],1.68
CHALLENGER MEN - SINGLES :  Verona (Italy),clay,header
23.07. 15:45,Mager G.,0,4,5,,,,6,2,61%,64% (30/47),40% (12/30),60% (6/10),38% (17/45),36% (9/25),25% (2/8),6,55% (42/77),37% (26/70),46% (68/147),3,64% (7/11),18% (2/11),41% (9/22),"['3', '4']","['3', '2']",[],[],[],3.76
23.07. 15:45,De Jong J.,2,6,7,,,,6,5,64%,62% (28/45),64% (16/25),75% (6/8),36% (17/47),60% (18/30),40% (4/10),6,63% (44/70),45% (35/77),54% (79/147),3,82% (9/11),36% (4/11),59% (13/22),"['2', '0', '6', '4']","['4', '4', '7', '5']",[],[],[],1.25
ITF MEN - SINGLES :  M25 Telfs (Austria),clay,header
ITF MEN - SINGLES :  M25 Padova (Italy),clay,header
13.07. 22:40,Mager G.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '2', '6', '2']","['3', '1', '6', '4']",[],[],1.46
13.07. 22:40,Ovcharenko O.,1,6,2,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '2']",[],"['4', '5']",[],[],2.59
12.07. 21:15,Mager G.,2,1,7,7^7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '1', '2', '2', '4', '2', '7', '5']","['1', '3', '3', '3', '5', '5']",[],[],1.22
12.07. 21:15,Pennaforti G.,1,6,5,6^5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0']","['1', '0', '2', '1', '4', '5']","['1', '0', '3', '0', '5', '4']",[],[],3.96
11.07. 23:40,Mager G.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '6', '3']","['2', '0', '7', '5']",[],[],[],1.59
11.07. 23:40,Martin A.,0,3,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '4']","['4', '5']",[],[],[],2.26
10.07. 23:40,Mager G.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],0
10.07. 23:40,De Giorgio P.,0,0,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
09.07. 14:10,Mager G.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.08
09.07. 14:10,Caniato C. A.,0,4,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],6.80
CHALLENGER MEN - SINGLES :  Milan (Italy),clay,header
27.06. 13:40,Mager G.,0,5,5,,,,1,2,47%,67% (22/33),49% (18/37),56% (5/9),31% (17/54),52% (16/31),17% (2/12),5,57% (40/70),39% (33/85),47% (73/155),3,67% (8/12),17% (2/12),42% (10/24),"['4', '3']","['2', '1']",[],[],[],2.26
27.06. 13:40,Tseng C. H.,2,7,7,,,,3,4,64%,69% (37/54),48% (15/31),83% (10/12),33% (11/33),51% (19/37),44% (4/9),12,61% (52/85),43% (30/70),53% (82/155),5,83% (10/12),33% (4/12),58% (14/24),"['5', '5', '7', '5']","['4', '4', '7', '5']",[],[],[],1.60
