Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Mauthausen (Austria),clay,header
01.05. 14:40,Schwaerzler J. J.,0,4,6^2,,,,5,3,50%,58% (19/33),70% (23/33),63% (5/8),29% (18/62),57% (17/30),25% (2/8),64% (42/66),38% (35/92),49% (77/158),2,2,73% (8/11),18% (2/11),45% (10/22),[],[],[],[],[],1.46
01.05. 14:40,Oberleitner N.,2,6,7^7,,,,2,3,67%,71% (44/62),43% (13/30),75% (6/8),42% (14/33),30% (10/33),38% (3/8),62% (57/92),36% (24/66),51% (81/158),8,0,82% (9/11),27% (3/11),55% (12/22),[],[],[],[],[],2.59
29.04. 21:30,Schwaerzler J. J.,2,6,7,,,,1,1,59%,73% (29/40),64% (18/28),67% (2/3),29% (11/38),58% (15/26),75% (3/4),69% (47/68),41% (26/64),55% (73/132),7,0,91% (10/11),30% (3/10),62% (13/21),[],[],[],[],[],1.67
29.04. 21:30,Paroulek T.,0,3,5,,,,0,4,59%,71% (27/38),42% (11/26),25% (1/4),28% (11/40),36% (10/28),33% (1/3),59% (38/64),31% (21/68),45% (59/132),3,0,70% (7/10),9% (1/11),38% (8/21),[],[],[],[],[],2.12
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
23.04. 22:30,Schwaerzler J. J.,0,4,0,,,,0,2,63%,48% (12/25),7% (1/15),0% (0/6),22% (6/27),55% (12/22),67% (2/3),33% (13/40),37% (18/49),35% (31/89),1,0,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],1.78
23.04. 22:30,Mejia N.,2,6,6,,,,3,2,55%,78% (21/27),45% (10/22),33% (1/3),52% (13/25),93% (14/15),100% (6/6),63% (31/49),68% (27/40),65% (58/89),9,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],2.04
22.04. 23:05,Schwaerzler J. J.,2,6,6,,,,1,0,60%,84% (31/37),60% (15/25),100% (6/6),26% (8/31),47% (8/17),67% (2/3),74% (46/62),33% (16/48),56% (62/110),4,0,100% (10/10),22% (2/9),63% (12/19),[],[],[],[],[],3.80
22.04. 23:05,Nava E.,0,3,4,,,,2,0,65%,74% (23/31),53% (9/17),33% (1/3),16% (6/37),40% (10/25),0% (0/6),67% (32/48),26% (16/62),44% (48/110),6,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.24
CHALLENGER MEN - SINGLES :  Tallahassee (USA),clay,header
