Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/26,29/21,4/5,-,-,-
2024,24/16,21/13,3/3,-,-,-
2023,7/9,6/7,1/2,-,-,-
2022,2/1,2/1,-,-,-,-
