Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/67,38/36,23/24,5/7,-,-
2024,22/19,15/11,7/7,0/1,-,-
2023,5/6,0/1,5/5,-,-,-
2022,19/11,13/8,3/2,3/1,-,-
2021,18/26,8/13,8/10,2/3,-,-
2020,2/4,2/3,-,0/1,-,-
2019,0/1,-,-,0/1,-,-
