Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.07.,Barsukov N.,2,,,,,,[],"['1', '2', '5', '4']","['2', '1', '4', '1']",[],[],2.26
29.07.,Kelm Y.,1,,,,,,"['3', '1', '6', '2']","['2', '0']",[],[],[],1.58
02.07.,Masur D.,2,,,,,,"['1', '0', '4', '3', '6', '5']","['1', '0', '2', '1']",[],[],[],1.10
02.07.,Kelm Y.,0,,,,,,"['2', '2', '4', '4']","['1', '1']",[],[],[],5.80
21.06.,Forger A.,2,,,,,,"['2', '2', '4', '4', '7', '5']","['2', '0', '3', '1', '4', '2', '6', '2']",[],[],[],1.20
21.06.,Kelm Y.,0,,,,,,"['1', '0', '4', '3']","['1', '2', '2', '3']",[],[],[],4.18
20.06.,Kelm Y.,2,,,,,,[],"['3', '3', '5', '3']","['1', '0', '2', '1', '5', '4']",[],[],1.38
20.06.,De Boes M.,1,,,,,,"['2', '1', '4', '1']","['3', '2']","['1', '1', '4', '4']",[],[],2.85
19.06.,Kelm Y.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['1', '1', '3', '1', '4', '2']",[],[],[],2.26
19.06.,Bonnaud A.,0,,,,,,"['2', '3']","['1', '0', '2', '3']",[],[],[],1.58
17.06.,Kelm Y.,2,,,,,,"['2', '0']","['1', '0', '3', '2']",[],[],[],7.90
17.06.,Gentzsch T.,0,,,,,,[],"['1', '1']",[],[],[],1.05
21.05.,Vasa E.,2,,,,,,"['1', '0', '3', '0']","['1', '2', '3', '2', '5', '2']",[],[],[],1.13
21.05.,Kelm Y.,0,,,,,,"['3', '5']","['2', '0']",[],[],[],5.10
15.05.,Wallin O.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.25
15.05.,Kelm Y.,0,,,,,,[],[],[],[],[],3.62
14.05.,Kelm Y.,2,,,,,,"['1', '1', '3', '1', '4', '2']","['2', '5', '4', '5']",[],[],[],2.62
14.05.,Hallquist Lithen J.,0,,,,,,"['1', '0', '2', '3']","['2', '0', '4', '0']",[],[],[],1.44
19.03.,Marcondes I.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '4', '3', '6', '5']",[],[],[],1.17
19.03.,Kelm Y.,0,,,,,,[],"['2', '2', '4', '4']",[],[],[],4.48
11.02.,Petkovic M.,2,,,,,,"['3', '1', '7', '5']","['2', '0']",[],[],[],1.12
11.02.,Kelm Y.,0,,,,,,"['3', '4']","['1', '2']",[],[],[],5.35
29.11.2024,Wehnelt K.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.31
29.11.2024,Kelm Y.,0,,,,,,[],[],[],[],[],3.20
28.11.2024,Kelm Y.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '4', '1', '5', '2']",[],[],[],1.04
