Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,83/105,51/56,23/32,1/10,-,8/7
2024,31/16,30/13,1/3,-,-,-
2023,7/16,4/10,1/2,-,-,2/4
2022,19/23,10/8,9/14,0/1,-,-
2021,10/14,0/3,3/5,1/3,-,6/3
2020,2/7,0/5,2/2,-,-,-
2019,12/19,5/11,7/6,0/2,-,-
2018,1/6,1/4,-,0/2,-,-
2017,1/4,1/2,-,0/2,-,-
