Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.08.,Svajda Z.,3,,,,,,14,1,58%,80% (39/49),33% (12/36),38% (3/8),45% (22/49),69% (27/39),64% (9/14),21,22,60% (6/10),60% (51/85),56% (49/88),58% (100/173),7,0,67% (10/15),60% (9/15),63% (19/30),2231,"['2', '2', '3', '3', '5', '3', '6', '4']","['3', '1', '6', '2']","['2', '0', '4', '2', '7', '5']",[],[],1.40
24.08.,Piros Z.,0,,,,,,5,6,56%,55% (27/49),31% (12/39),36% (5/14),20% (10/49),67% (24/36),63% (5/8),20,52,62% (8/13),44% (39/88),40% (34/85),42% (73/173),3,1,40% (6/15),33% (5/15),37% (11/30),1915,"['2', '1', '3', '2', '4', '5']",[],"['2', '3', '4', '5']",[],[],3.00
22.08.,Piros Z.,2,,,,,,7,4,58%,71% (32/45),48% (16/33),57% (4/7),180 km/h,152 km/h,38% (15/40),57% (23/40),55% (6/11),31,33,50% (5/10),62% (48/78),48% (38/80),54% (86/158),4,0,77% (10/13),50% (6/12),64% (16/25),"['2', '0', '4', '0']","['3', '4', '4', '5']","['1', '0', '4', '1']",[],[],2.15
22.08.,Duckworth J.,1,,,,,,4,4,50%,63% (25/40),43% (17/40),45% (5/11),190 km/h,156 km/h,29% (13/45),52% (17/33),43% (3/7),24,39,60% (12/20),53% (42/80),38% (30/78),46% (72/158),6,0,50% (6/12),23% (3/13),36% (9/25),[],"['2', '0', '5', '3', '6', '4']",[],[],[],1.70
21.08.,Piros Z.,2,,,,,,0,5,65%,71% (36/51),57% (16/28),67% (2/3),35% (13/37),43% (12/28),25% (2/8),67% (52/78),38% (25/65),54% (77/143),7,0,91% (10/11),20% (2/10),57% (12/21),"['2', '0']","['1', '2']",[],[],[],2.42
21.08.,Tirante T. A.,0,,,,,,6,2,57%,65% (24/37),57% (16/28),75% (6/8),29% (15/51),43% (12/28),33% (1/3),62% (40/65),33% (26/78),46% (66/143),3,0,80% (8/10),9% (1/11),43% (9/21),[],"['2', '0']",[],[],[],1.57
19.08.,Piros Z.,2,,,,,,4,2,70%,68% (36/53),61% (14/23),40% (2/5),26% (11/43),62% (13/21),67% (4/6),66% (50/76),38% (24/64),53% (74/140),8,0,75% (9/12),33% (4/12),54% (13/24),"['2', '0', '4', '2', '7', '5']","['4', '2']",[],[],[],1.38
19.08.,Bouquier A.,0,,,,,,14,5,67%,74% (32/43),38% (8/21),33% (2/6),32% (17/53),39% (9/23),60% (3/5),63% (40/64),34% (26/76),47% (66/140),2,0,67% (8/12),25% (3/12),46% (11/24),"['2', '3', '4', '5']","['3', '4']",[],[],[],3.04
08.08.,Stebe C.,2,,,,,,3,7,64%,67% (36/54),53% (16/30),71% (5/7),39% (17/44),50% (16/32),33% (3/9),14,38,46% (6/13),62% (52/84),43% (33/76),53% (85/160),8,0,82% (9/11),27% (3/11),55% (12/22),"['4', '4', '6', '4']","['4', '2']",[],[],[],18.5
08.08.,Piros Z.,0,,,,,,1,2,58%,61% (27/44),50% (16/32),67% (6/9),33% (18/54),47% (14/30),29% (2/7),14,52,100% (3/3),57% (43/76),38% (32/84),47% (75/160),2,1,73% (8/11),18% (2/11),45% (10/22),"['4', '3']","['4', '5']",[],[],[],1.55
06.08.,Piros Z.,2,,,,,,3,1,54%,56% (20/36),77% (24/31),60% (3/5),36% (18/50),57% (23/40),30% (3/10),28,37,60% (3/5),66% (44/67),46% (41/90),54% (85/157),5,0,82% (9/11),27% (3/11),55% (12/22),"['3', '3', '5', '5']","['4', '3']",[],[],[],1.83
06.08.,Vacherot V.,0,,,,,,4,2,56%,64% (32/50),43% (17/40),70% (7/10),44% (16/36),23% (7/31),40% (2/5),14,38,55% (6/11),54% (49/90),34% (23/67),46% (72/157),5,2,73% (8/11),18% (2/11),45% (10/22),"['3', '2', '4', '3']",[],[],[],[],1.89
05.08.,Piros Z.,2,,,,,,5,3,51%,54% (20/37),69% (24/35),63% (5/8),33% (13/39),57% (17/30),63% (5/8),15,37,60% (3/5),61% (44/72),43% (30/69),52% (74/141),8,0,75% (9/12),42% (5/12),58% (14/24),"['3', '2', '4', '3', '6', '5']","['2', '1', '6', '5']",[],[],[],1.24
05.08.,Kolar Z.,0,,,,,,3,5,57%,67% (26/39),43% (13/30),38% (3/8),46% (17/37),31% (11/35),38% (3/8),17,35,67% (6/9),57% (39/69),39% (28/72),48% (67/141),2,0,58% (7/12),25% (3/12),42% (10/24),"['3', '3', '5', '5']","['2', '2']",[],[],[],3.80
