Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/12,12/11,-,0/1,-,-
2024,7/4,7/3,-,0/1,-,-
2023,4/6,4/6,-,-,-,-
2022,1/2,1/2,-,-,-,-
