Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.03.,Handel T.,2,,,,,,[],"['2', '0', '5', '1']","['2', '1', '6', '5']",[],[],1.22
05.03.,Schaer J.,1,,,,,,"['1', '0']","['2', '5']","['4', '4']",[],[],3.91
27.08.2024,Schaer J.,2,,,,,,[],"['6', '6']","['1', '0', '6', '3']",[],[],1.43
27.08.2024,Gaillard T.,1,,,,,,"['2', '0', '5', '1']","['6', '5']",[],[],[],2.68
14.08.2024,Casanova A.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.45
14.08.2024,Schaer J.,0,,,,,,"['3', '5']",[],[],[],[],2.62
19.03.2023,Purtseladze S.,2,,,,,,11,2,53%,94% (34/36),63% (20/32),67% (2/3),25% (13/51),59% (20/34),38% (3/8),78% (51/65),38% (32/84),56% (83/149),92% (12/13),29% (4/14),59% (16/27),[],"['2', '0']","['3', '2', '5', '2']",[],[],1.61
19.03.2023,Schaer J.,1,,,,,,4,6,60%,75% (38/51),41% (14/34),63% (5/8),6% (2/36),38% (12/32),33% (1/3),62% (52/84),22% (14/65),44% (66/149),71% (10/14),8% (1/13),41% (11/27),"['5', '4']",[],[],[],[],2.24
16.03.2023,Oberleitner N.,2,,,,,,[],[],[],[],[],1.55
16.03.2023,Schaer J.,0,,,,,,[],[],[],[],[],2.33
15.03.2023,Schaer J.,2,,,,,,[],[],[],[],[],4.28
15.03.2023,Bachinger M.,1,,,,,,[],[],[],[],[],1.19
07.12.2022,Choinski J.,2,,,,,,"['2', '0', '5', '1']",[],[],[],[],1.02
07.12.2022,Schaer J.,0,,,,,,[],[],[],[],[],11.00
01.12.2022,Winter Lopez B.,2,,,,,,"['2', '1', '4', '3', '5', '4']","['1', '0']",[],[],[],1.21
01.12.2022,Schaer J.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],4.12
30.11.2022,Schaer J.,2,,,,,,"['3', '1']","['4', '3', '6', '3']",[],[],[],1.64
30.11.2022,Turriziani Alvarez A.,0,,,,,,[],[],[],[],[],2.18
19.10.2022,Wendelken H.,2,,,,,,"['4', '4', '6', '4']","['2', '2', '4', '2']",[],[],[],1.25
19.10.2022,Schaer J.,0,,,,,,"['4', '3']","['1', '0']",[],[],[],3.70
11.10.2022,Loffhagen G.,2,,,,,,"['2', '1']","['5', '5']",[],[],[],1.38
11.10.2022,Schaer J.,0,,,,,,"['3', '3']","['1', '0']",[],[],[],2.87
