Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,500/286,244/102,165/122,51/37,28/20,12/5
2024,4/2,-,2/1,2/1,-,-
2023,6/2,2/0,-,4/2,-,-
2022,1/2,-,1/2,-,-,-
2021,19/20,6/4,8/13,-,5/3,-
2020,8/13,0/2,1/9,3/0,1/1,3/1
2019,29/22,13/7,9/12,1/1,4/2,2/0
2018,51/23,15/4,21/12,6/2,5/3,4/2
2017,39/25,15/7,13/12,5/4,6/2,-
2016,37/30,14/10,18/14,1/3,4/3,-
2015,60/16,34/9,14/2,12/5,-,-
2014,5/0,5/0,-,-,-,-
2013,10/8,3/3,7/5,-,-,-
2012,31/14,27/9,2/2,2/3,-,-
2011,15/20,2/3,11/11,2/4,0/2,-
2010,37/23,15/7,20/13,0/1,0/1,2/1
2009,43/19,17/6,19/8,4/3,3/2,-
2008,38/18,24/12,12/2,2/3,0/1,-
2007,28/18,17/11,7/4,4/3,-,-
2006,39/10,35/7,-,3/2,-,1/1
2005,0/1,0/1,-,-,-,-
