Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,523/381,47/52,435/287,36/33,5/9,-
2024,28/18,3/1,24/15,-,1/2,-
2023,33/25,7/6,26/19,-,-,-
2022,26/30,6/7,20/21,0/2,-,-
2021,11/23,0/8,8/8,3/6,0/1,-
2020,1/3,-,0/1,1/2,-,-
2019,41/26,2/2,38/21,1/2,0/1,-
2018,37/27,3/3,34/22,0/1,0/1,-
2017,32/25,1/2,27/20,3/2,1/1,-
2016,26/26,8/9,18/16,-,0/1,-
2015,38/21,1/1,37/19,0/1,-,-
2014,47/32,5/3,30/23,12/6,-,-
2013,39/17,-,32/14,7/3,-,-
2012,37/16,0/1,32/15,5/0,-,-
2011,32/16,3/2,29/13,0/1,-,-
2010,28/22,2/1,19/13,4/6,3/2,-
2009,10/11,-,10/10,0/1,-,-
2008,25/9,2/2,23/7,-,-,-
2007,19/15,4/4,15/11,-,-,-
2006,7/11,-,7/11,-,-,-
2005,6/7,-,6/7,-,-,-
2004,0/1,-,0/1,-,-,-
