Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,52/60,42/46,6/6,-,-,4/8
2024,22/18,19/15,3/3,-,-,-
2023,22/27,15/16,3/3,-,-,4/8
2022,8/13,8/13,-,-,-,-
2021,0/2,0/2,-,-,-,-
