Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.05.2024,Simkiss L.,0,,,,,,[],"['2', '0']",[],[],[],7.11
24.04.2024,Hulme M.,2,,,,,,[],"['2', '0', '6', '4']","['7', '5']",[],[],1.30
24.04.2024,Simkiss L.,1,,,,,,"['3', '2']","['3', '4']",[],[],[],3.34
13.03.2024,Van Tilburg R.,2,,,,,,"['2', '1', '6', '3']","['2', '2']","['1', '2', '3', '2', '6', '3']",[],[],1.62
13.03.2024,Simkiss L.,1,,,,,,[],"['1', '0', '3', '2', '6', '3']","['2', '0']",[],[],2.20
28.11.2023,Vasa E.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.84
28.11.2023,Simkiss L.,0,,,,,,[],[],[],[],[],1.88
31.10.2023,Deckers A.,2,,,,,,[],[],"['3', '4']",[],[],1.29
31.10.2023,Simkiss L.,1,,,,,,"['2', '1']",[],"['2', '0']",[],[],3.34
17.10.2023,Sanghera T.,2,,,,,,[],"['2', '0']",[],[],[],2.78
17.10.2023,Simkiss L.,0,,,,,,[],[],[],[],[],1.40
12.09.2023,Nedelchev N.,2,,,,,,"['2', '1', '6', '3']","['4', '2']","['2', '2', '4', '4', '7', '5']",[],[],1.84
12.09.2023,Simkiss L.,1,,,,,,[],"['3', '4', '5', '4']","['2', '1', '3', '2']",[],[],1.87
15.08.2023,Storrie R. J.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],[],1.53
15.08.2023,Simkiss L.,0,,,,,,[],"['3', '5']",[],[],[],2.38
09.08.2023,Broom C.,2,,,,,,"['4', '3', '6', '3']","['2', '0']",[],[],[],1.38
09.08.2023,Simkiss L.,0,,,,,,[],[],[],[],[],2.86
