Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/11,10/10,-,1/1,-,-
2024,4/4,4/4,-,-,-,-
2023,3/3,3/3,-,-,-,-
2022,3/3,3/3,-,-,-,-
2021,1/1,-,-,1/1,-,-
