Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
01.04.,Ofner S.,1,,,,,,3,2,55%,78% (14/18),53% (8/15),0% (0/0),56% (14/25),60% (6/10),50% (3/6),8,14,75% (3/4),67% (22/33),57% (20/35),62% (42/68),8,0,100% (5/5),60% (3/5),80% (8/10),"['1', '0', '4', '1']","['1', '0']",[],[],[],1.43
01.04.,Andreev A.,0,,,,,,0,1,71%,44% (11/25),40% (4/10),50% (3/6),22% (4/18),47% (7/15),0% (0/0),6,22,100% (2/2),43% (15/35),33% (11/33),38% (26/68),2,0,40% (2/5),0% (0/5),20% (2/10),[],[],[],[],[],2.69
24.03.,Cachin P.,2,,,,,,7,7,57%,78% (32/41),52% (16/31),80% (4/5),36% (15/42),50% (9/18),60% (3/5),67% (48/72),40% (24/60),55% (72/132),7,0,91% (10/11),30% (3/10),62% (13/21),"['3', '1']","['2', '1', '6', '5']",[],[],[],1.68
24.03.,Andreev A.,0,,,,,,0,2,70%,64% (27/42),50% (9/18),40% (2/5),22% (9/41),48% (15/31),20% (1/5),60% (36/60),33% (24/72),45% (60/132),3,2,70% (7/10),9% (1/11),38% (8/21),[],"['5', '5']",[],[],[],2.11
18.03.,Royer V.,2,,,,,,2,4,61%,57% (31/54),41% (14/34),30% (3/10),49% (35/72),47% (15/32),41% (7/17),51% (45/88),48% (50/104),49% (95/192),8,0,53% (8/15),50% (7/14),52% (15/29),"['2', '2', '4', '4', '6', '4']","['3', '5']","['1', '2', '4', '3', '5', '4']",[],[],1.30
18.03.,Andreev A.,1,,,,,,3,4,69%,51% (37/72),53% (17/32),59% (10/17),43% (23/54),59% (20/34),70% (7/10),52% (54/104),49% (43/88),51% (97/192),2,0,50% (7/14),47% (7/15),48% (14/29),"['1', '0', '4', '3']","['1', '0', '5', '2', '6', '3']","['2', '0', '4', '4']",[],[],3.35
24.02.,Squire H.,2,,,,,,13,4,55%,90% (37/41),41% (14/34),88% (7/8),34% (12/35),45% (9/20),75% (3/4),68% (51/75),38% (21/55),55% (72/130),8,0,91% (10/11),30% (3/10),62% (13/21),"['3', '3', '5', '3']","['6', '5']",[],[],[],1.53
24.02.,Andreev A.,0,,,,,,5,1,64%,66% (23/35),55% (11/20),25% (1/4),10% (4/41),59% (20/34),13% (1/8),62% (34/55),32% (24/75),45% (58/130),2,0,70% (7/10),9% (1/11),38% (8/21),"['1', '0']",[],[],[],[],2.40
18.02.,Draxl L.,2,,,,,,11,1,74%,86% (25/29),70% (7/10),0% (0/0),30% (11/37),71% (15/21),44% (4/9),82% (32/39),45% (26/58),60% (58/97),8,0,100% (8/8),44% (4/9),71% (12/17),"['4', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.35
18.02.,Andreev A.,0,,,,,,5,1,64%,70% (26/37),29% (6/21),56% (5/9),14% (4/29),30% (3/10),0% (0/0),55% (32/58),18% (7/39),40% (39/97),2,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],3.04
11.02.,Budkov Kjaer N.,1,,,,,,11,1,68%,75% (21/28),38% (5/13),60% (3/5),52% (12/23),46% (6/13),60% (3/5),63% (26/41),50% (18/36),57% (44/77),6,0,71% (5/7),50% (3/6),62% (8/13),"['2', '0', '5', '3', '7', '5']",[],[],[],[],1.70
11.02.,Andreev A.,0,,,,,,2,1,64%,48% (11/23),54% (7/13),40% (2/5),25% (7/28),62% (8/13),40% (2/5),50% (18/36),37% (15/41),43% (33/77),4,0,50% (3/6),29% (2/7),38% (5/13),"['2', '3', '4', '5']",[],[],[],[],2.05
01.02.,Andreev A.,2,,,,,,"['3', '3', '5', '3']",[],"['2', '0']",[],[],-
01.02.,Jianu F. C.,1,,,,,,"['2', '1']","['4', '2']",[],[],[],-
21.01.,Andreev A.,2,,,,,,6,5,58%,63% (41/65),44% (21/48),54% (7/13),41% (24/59),44% (19/43),50% (6/12),55% (62/113),42% (43/102),49% (105/215),7,0,63% (10/16),38% (6/16),50% (16/32),"['1', '0', '4', '1']","['1', '2', '4', '5']","['5', '4', '6', '5']",[],[],2.48
21.01.,Chidekh C.,1,,,,,,9,7,58%,59% (35/59),56% (24/43),50% (6/12),37% (24/65),56% (27/48),46% (6/13),58% (59/102),45% (51/113),51% (110/215),3,1,63% (10/16),38% (6/16),50% (16/32),"['3', '5']","['2', '0', '5', '3', '6', '4']","['5', '5', '6', '6']",[],[],1.50
06.01.,Vallejo D.,2,,,,,,5,3,71%,63% (33/52),52% (11/21),50% (2/4),35% (11/31),55% (12/22),67% (4/6),23,20,65% (11/17),60% (44/73),43% (23/53),53% (67/126),7,0,80% (8/10),40% (4/10),60% (12/20),"['6', '4']","['2', '0', '4', '2', '6', '4']",[],[],[],2.10
06.01.,Andreev A.,0,,,,,,3,4,58%,65% (20/31),45% (10/22),33% (2/6),37% (19/52),48% (10/21),50% (2/4),17,27,73% (8/11),57% (30/53),40% (29/73),47% (59/126),3,1,60% (6/10),20% (2/10),40% (8/20),[],"['2', '3', '3', '4']",[],[],[],1.74
29.12.2024,Bonzi B.,0,,,,,,1,2,45%,100% (5/5),67% (4/6),0% (0/0),60% (6/10),55% (6/11),50% (1/2),82% (9/11),50% (9/18),62% (18/29),7,0,100% (2/2),50% (1/2),75% (3/4),"['3', '1']",[],[],[],[],1.15
