Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.07.,Binda A.,2,,,,,,6,7,59%,66% (40/61),36% (15/42),57% (8/14),43% (23/53),55% (23/42),54% (7/13),10,28,60% (6/10),53% (55/103),48% (45/94),51% (100/197),4,0,60% (9/15),47% (7/15),53% (16/30),"['1', '2', '2', '5']","['4', '4', '5', '5', '7', '5']","['2', '2', '4', '2']",[],[],1.76
20.07.,Masjuan Ginel P.,1,,,,,,5,5,56%,57% (30/53),45% (19/42),46% (6/13),34% (21/61),64% (27/42),43% (6/14),25,48,71% (5/7),52% (49/94),47% (48/103),49% (97/197),6,0,53% (8/15),40% (6/15),47% (14/30),"['2', '0', '3', '1', '5', '1']","['1', '0', '5', '4']","['2', '1']",[],[],1.97
16.07.,Silva T.,2,,,,,,[],"['1', '1', '3', '1']","['4', '5', '6', '5']",[],[],1.95
16.07.,Masjuan Ginel P.,1,,,,,,"['2', '1', '5', '2']","['1', '0']","['2', '0']",[],[],1.76
03.07.,Pedrico Kravtsov A.,2,,,,,,"['2', '1', '5', '4']","['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '2']",[],[],1.43
03.07.,Masjuan Ginel P.,1,,,,,,"['4', '4', '5', '5', '7', '5']",[],"['2', '4']",[],[],2.66
02.07.,Masjuan Ginel P.,2,,,,,,"['1', '0', '2', '1', '5', '2']",[],"['2', '0', '3', '1', '4', '2', '6', '2']",[],[],1.04
02.07.,Lazaro Juncadella M.,1,,,,,,"['1', '1', '3', '5']","['2', '0', '5', '1']","['1', '2', '2', '3']",[],[],8.10
04.06.,Fenty A.,1,,,,,,"['1', '0', '3', '4', '6', '5']","['2', '1']",[],[],[],2.03
04.06.,Masjuan Ginel P.,0,,,,,,"['2', '2', '4', '2']",[],[],[],[],1.70
15.04.,Lopez Montagud C.,2,,,,,,"['2', '0', '4', '0']","['1', '0']",[],[],[],1.94
15.04.,Masjuan Ginel P.,0,,,,,,"['1', '4']",[],[],[],[],1.77
06.04.,Hardt N.,2,,,,,,2,4,57%,74% (26/35),54% (14/26),80% (4/5),29% (8/28),78% (14/18),67% (4/6),66% (40/61),48% (22/46),58% (62/107),6,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0']","['2', '3', '4', '3']",[],[],[],1.34
06.04.,Masjuan Ginel P.,0,,,,,,1,1,61%,71% (20/28),22% (4/18),33% (2/6),26% (9/35),46% (12/26),20% (1/5),52% (24/46),34% (21/61),42% (45/107),4,1,50% (4/8),11% (1/9),29% (5/17),[],"['2', '0']",[],[],[],3.10
31.03.,Gombos N.,2,,,,,,6,4,53%,65% (32/49),49% (21/43),44% (4/9),39% (22/57),63% (22/35),43% (6/14),23,47,64% (7/11),58% (53/92),48% (44/92),53% (97/184),7,0,67% (10/15),43% (6/14),55% (16/29),"['2', '2', '4', '4']","['3', '3', '6', '4']","['3', '3', '5', '3']",[],[],1.67
31.03.,Masjuan Ginel P.,1,,,,,,2,6,62%,61% (35/57),37% (13/35),57% (8/14),35% (17/49),51% (22/43),56% (5/9),23,50,56% (5/9),52% (48/92),42% (39/92),47% (87/184),3,0,57% (8/14),33% (5/15),45% (13/29),"['1', '0', '4', '3', '5', '4']","['2', '1']","['1', '0']",[],[],2.12
22.03.,Wenger D.,2,,,,,,"['2', '1', '4', '1']","['1', '0']",[],[],[],1.69
22.03.,Masjuan Ginel P.,0,,,,,,"['3', '5']",[],[],[],[],2.04
21.03.,Masjuan Ginel P.,2,,,,,,"['1', '2']","['3', '2']","['1', '0', '4', '0', '5', '0', '6', '3', '8', '4', '10', '6']",[],[],-
21.03.,Ionel N. D.,1,,,,,,"['2', '0', '4', '2', '6', '2']",[],"['1', '5', '2', '5', '4', '7', '6', '8']",[],[],-
21.03.,Masjuan Ginel P.,2,,,,,,"['2', '1', '6', '3']","['2', '0']",[],[],[],1.31
21.03.,Ferrari F.,0,,,,,,[],[],[],[],[],3.20
19.03.,Masjuan Ginel P.,1,,,,,,"['2', '1', '6', '3']",[],[],[],[],1.41
19.03.,Rivet M.,0,,,,,,[],"['2', '1']",[],[],[],2.73
