https://www.tennisexplorer.com/res/img/player/2BUg1tYs-rXdKx6di.jpeg
Zanolini Camilla
Country: Italy
Age: 21 (26. 3. 2003)
Current/Highest rank - singles: 731. / 731.
Current/Highest rank - doubles: 974. / 899.
Sex: woman
Plays: right
