Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,227/183,53/61,121/84,53/37,0/1,-
2024,31/25,2/3,27/18,2/3,0/1,-
2023,39/12,5/3,34/9,-,-,-
2020,4/3,0/1,-,4/2,-,-
2019,11/11,2/4,3/2,6/5,-,-
2018,25/19,7/7,9/6,9/6,-,-
2017,20/26,1/6,15/17,4/3,-,-
2016,35/31,8/14,17/10,10/7,-,-
2015,27/29,12/11,4/10,11/8,-,-
2014,26/19,14/10,5/6,7/3,-,-
2013,9/8,2/2,7/6,-,-,-
