Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.02.,Nakagawa N.,2,,,,,,"['3', '2', '5', '2']","['3', '2']",[],[],[],1.38
12.02.,Altamirano C.,0,,,,,,"['3', '5']",[],[],[],[],2.85
22.01.,Ivanov I.,2,,,,,,"['5', '3']","['1', '0', '3', '0']",[],[],[],2.16
22.01.,Altamirano C.,0,,,,,,[],"['2', '4']",[],[],[],1.63
11.01.,Kravchenko G.,2,,,,,,"['2', '0']","['5', '4']",[],[],[],1.39
11.01.,Altamirano C.,0,,,,,,[],[],[],[],[],2.81
10.01.,Altamirano C.,2,,,,,,"['2', '2', '4', '2', '6', '4']","['2', '2', '3', '3', '5', '3']",[],[],[],1.67
10.01.,Dhamne M.,0,,,,,,"['2', '1', '3', '4']","['2', '1', '3', '2']",[],[],[],2.10
09.01.,Altamirano C.,2,,,,,,"['2', '2', '4', '2', '6', '2']",[],"['3', '1', '5', '1']",[],[],1.40
09.01.,Arcila A.,1,,,,,,"['2', '1']","['4', '3']",[],[],[],2.77
08.01.,Altamirano C.,2,,,,,,"['1', '0', '3', '0', '5', '4']","['5', '4']",[],[],[],1.81
08.01.,Honda N.,0,,,,,,"['1', '3', '3', '3']",[],[],[],[],1.89
19.11.2024,Altamirano C.,2,,,,,,"['2', '3', '4', '3']","['3', '2', '6', '5']","['3', '2']",[],[],1.46
19.11.2024,Karahan A.,1,,,,,,"['2', '0', '5', '5', '7', '5']","['3', '3']",[],[],[],2.56
13.10.2024,Nanda G.,2,,,,,,0,2,45%,81% (21/26),69% (22/32),67% (4/6),36% (9/25),57% (24/42),67% (4/6),74% (43/58),49% (33/67),61% (76/125),8,0,80% (8/10),40% (4/10),60% (12/20),"['1', '0', '4', '5']","['4', '2', '6', '2']",[],[],[],1.30
13.10.2024,Altamirano C.,0,,,,,,3,6,37%,64% (16/25),43% (18/42),33% (2/6),19% (5/26),31% (10/32),33% (2/6),51% (34/67),26% (15/58),39% (49/125),2,0,60% (6/10),20% (2/10),40% (8/20),"['2', '2', '5', '3']",[],[],[],[],3.35
08.10.2024,Rybakov A.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '1']",[],[],[],1.22
08.10.2024,Altamirano C.,0,,,,,,[],[],[],[],[],3.91
29.09.2024,Langmo C.,2,,,,,,4,6,56%,66% (43/65),55% (28/51),56% (5/9),31% (19/62),60% (26/43),36% (5/14),61% (71/116),43% (45/105),52% (116/221),6,0,75% (12/16),31% (5/16),53% (17/32),"['5', '5']","['1', '2', '3', '4']","['1', '0', '3', '0']",[],[],1.68
29.09.2024,Altamirano C.,1,,,,,,9,5,59%,69% (43/62),40% (17/43),64% (9/14),34% (22/65),45% (23/51),44% (4/9),57% (60/105),39% (45/116),48% (105/221),4,2,69% (11/16),25% (4/16),47% (15/32),"['1', '0']","['2', '0', '3', '1', '7', '5']",[],[],[],2.11
10.09.2024,Ficovich J. P.,2,,,,,,11,4,63%,76% (32/42),48% (12/25),67% (4/6),31% (11/35),64% (16/25),44% (4/9),66% (44/67),45% (27/60),56% (71/127),6,0,82% (9/11),40% (4/10),62% (13/21),"['4', '2', '5', '3']","['2', '1', '6', '5']",[],[],[],1.30
10.09.2024,Altamirano C.,0,,,,,,5,1,58%,69% (24/35),36% (9/25),56% (5/9),24% (10/42),52% (13/25),33% (2/6),55% (33/60),34% (23/67),44% (56/127),4,2,60% (6/10),18% (2/11),38% (8/21),"['3', '4']","['5', '5']",[],[],[],3.37
09.09.2024,Altamirano C.,2,,,,,,7,4,48%,74% (31/42),64% (29/45),0% (0/2),29% (17/58),47% (15/32),33% (4/12),69% (60/87),36% (32/90),51% (91/177),6,0,88% (14/16),25% (4/16),56% (18/32),[],"['1', '0', '6', '5']","['2', '1', '5', '2']",[],[],3.22
09.09.2024,Sweeny D.,1,,,,,,2,2,64%,71% (41/58),53% (17/32),67% (8/12),26% (11/42),36% (16/45),100% (2/2),64% (58/90),31% (27/87),48% (85/177),4,1,75% (12/16),13% (2/16),44% (14/32),"['7', '5']","['1', '1']",[],[],[],1.33
08.09.2024,Altamirano C.,2,,,,,,7,0,67%,75% (24/32),81% (13/16),0% (0/0),23% (11/47),78% (21/27),23% (3/13),77% (37/48),43% (32/74),57% (69/122),7,0,100% (9/9),30% (3/10),63% (12/19),"['4', '3']","['1', '0', '6', '3']",[],[],[],1.73
08.09.2024,Schachter N.,0,,,,,,2,6,64%,77% (36/47),22% (6/27),77% (10/13),25% (8/32),19% (3/16),0% (0/0),57% (42/74),23% (11/48),43% (53/122),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],2.03
04.09.2024,Altamirano C.,2,,,,,,"['1', '2']","['4', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.55
04.09.2024,Ito T.,1,,,,,,"['2', '0', '6', '4']",[],[],[],[],2.34
15.08.2024,Zink T.,2,,,,,,"['3', '1', '6', '2']","['5', '3']",[],[],[],1.33
15.08.2024,Altamirano C.,0,,,,,,[],[],[],[],[],3.12
14.08.2024,Altamirano C.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0']",[],[],[],1.11
14.08.2024,Manning W.,0,,,,,,"['2', '4']",[],[],[],[],5.72
13.08.2024,Altamirano C.,2,,,,,,"['1', '0']",[],"['2', '0', '5', '1']",[],[],1.29
13.08.2024,Brown P.,1,,,,,,[],[],[],[],[],3.37
