Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,139/75,69/43,40/23,7/3,-,23/6
2024,39/20,24/14,3/3,6/2,-,6/1
2023,64/24,21/13,30/9,-,-,13/2
2022,28/20,18/10,5/6,1/1,-,4/3
2021,8/10,6/5,2/5,-,-,-
2019,0/1,0/1,-,-,-,-
