Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.08.,Jorda Sanchis D.,2,,,,,,5,2,71%,62% (43/69),61% (17/28),67% (6/9),38% (22/58),45% (20/44),27% (4/15),16,49,60% (6/10),62% (60/97),41% (42/102),51% (102/199),6,0,80% (12/15),29% (4/14),55% (16/29),"['4', '2']","['2', '0', '3', '1', '5', '1']",[],[],[],20.0
18.08.,Nesterov P.,1,,,,,,3,1,57%,62% (36/58),55% (24/44),73% (11/15),38% (26/69),39% (11/28),33% (3/9),26,56,73% (11/15),59% (60/102),38% (37/97),49% (97/199),4,0,71% (10/14),20% (3/15),45% (13/29),"['3', '4', '5', '4']","['1', '2']",[],[],[],1.72
17.08.,Nesterov P.,2,,,,,,1,1,61%,70% (32/46),60% (18/30),60% (3/5),48% (21/44),32% (12/37),33% (3/9),19,42,60% (6/10),66% (50/76),41% (34/83),53% (84/159),5,0,82% (9/11),27% (3/11),55% (12/22),"['4', '4', '6', '6']","['3', '2']",[],[],[],1.66
17.08.,Kirov V.,0,,,,,,0,1,54%,52% (23/44),68% (25/37),67% (6/9),30% (14/46),40% (12/30),40% (2/5),16,43,73% (8/11),59% (49/83),34% (26/76),47% (75/159),5,3,73% (8/11),18% (2/11),45% (10/22),"['1', '0', '6', '5']",[],[],[],[],17.0
10.08.,Markov V.,2,,,,,,4,3,58%,68% (25/37),48% (13/27),80% (4/5),55% (11/20),59% (16/27),71% (5/7),14,25,67% (6/9),59% (38/64),57% (27/47),59% (65/111),5,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '2']",[],[],[],-
10.08.,Nesterov P.,0,,,,,,0,3,43%,45% (9/20),41% (11/27),29% (2/7),32% (12/37),52% (14/27),20% (1/5),7,38,50% (1/2),43% (20/47),41% (26/64),41% (46/111),5,1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '2']",[],[],[],-
30.07.,Samuel T.,2,,,,,,"['1', '2', '4', '5', '6', '5']","['1', '0', '2', '3', '4', '5']","['1', '0', '4', '3']",[],[],1.99
30.07.,Nesterov P.,1,,,,,,"['2', '0', '3', '1']","['1', '1', '3', '1', '4', '2', '6', '4']","['2', '2']",[],[],1.73
09.07.,Vatutin A.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.67
09.07.,Nesterov P.,0,,,,,,[],[],[],[],[],2.10
03.07.,Agwi M.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '5', '3']",[],[],[],1.77
03.07.,Nesterov P.,0,,,,,,[],"['1', '2']",[],[],[],1.94
02.07.,Nesterov P.,2,,,,,,"['6', '4']",[],"['3', '3']",[],[],1.17
02.07.,Recek D.,1,,,,,,[],"['3', '2', '5', '2']","['1', '0']",[],[],4.48
23.06.,Alcala Gurri M.,2,,,,,,1,3,70%,60% (21/35),47% (7/15),40% (2/5),56% (23/41),50% (12/24),60% (6/10),56% (28/50),54% (35/65),55% (63/115),7,0,67% (6/9),67% (6/9),67% (12/18),"['2', '0', '5', '3']","['1', '0', '2', '1', '4', '3', '6', '3']",[],[],[],1.80
23.06.,Nesterov P.,0,,,,,,0,2,63%,44% (18/41),50% (12/24),40% (4/10),40% (14/35),53% (8/15),60% (3/5),46% (30/65),44% (22/50),45% (52/115),3,0,33% (3/9),33% (3/9),33% (6/18),"['1', '2']","['1', '1', '2', '2']",[],[],[],1.93
22.06.,Nesterov P.,2,,,,,,2,3,64%,59% (35/59),64% (21/33),55% (6/11),40% (17/43),53% (21/40),56% (5/9),61% (56/92),46% (38/83),54% (94/175),6,0,64% (9/14),38% (5/13),52% (14/27),[],"['2', '0', '5', '1']","['1', '0', '3', '2', '6', '5']",[],[],2.99
22.06.,Brancaccio R.,1,,,,,,4,2,52%,60% (26/43),48% (19/40),44% (4/9),41% (24/59),36% (12/33),45% (5/11),54% (45/83),39% (36/92),46% (81/175),4,2,62% (8/13),36% (5/14),48% (13/27),"['2', '1', '5', '2']",[],"['2', '2', '5', '5', '6', '6']",[],[],1.36
20.06.,Bertola R.,2,,,,,,"['1', '0']","['1', '0']",[],[],[],1.51
20.06.,Nesterov P.,0,,,,,,[],[],[],[],[],2.42
19.06.,Nesterov P.,1,,,,,,"['2', '0', '4', '0']","['2', '1']",[],[],[],1.34
19.06.,Nikles J.,0,,,,,,[],[],[],[],[],3.04
18.06.,Nesterov P.,2,,,,,,"['6', '5']","['3', '2', '5', '2']",[],[],[],2.01
18.06.,Hardt N.,0,,,,,,[],"['3', '5']",[],[],[],1.71
