Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,77/71,46/46,20/19,-,-,11/6
2024,15/18,12/15,3/3,-,-,-
2023,24/21,17/14,3/4,-,-,4/3
2022,23/13,8/5,8/5,-,-,7/3
2018,7/8,4/4,3/4,-,-,-
2017,7/9,4/6,3/3,-,-,-
2016,1/1,1/1,-,-,-,-
2015,0/1,0/1,-,-,-,-
