Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.,Guinard M.,2,,,,,,12,3,54%,82% (31/38),58% (19/33),0% (0/3),31% (16/52),49% (21/43),25% (4/16),36,38,71% (12/17),70% (50/71),39% (37/95),52% (87/166),5,0,79% (11/14),29% (4/14),54% (15/28),"['3', '2', '5', '4']","['1', '0']","['4', '2']",[],[],1.68
11.08.,Magadan A.,1,,,,,,2,6,55%,69% (36/52),51% (22/43),75% (12/16),18% (7/38),42% (14/33),100% (3/3),17,33,64% (7/11),61% (58/95),30% (21/71),48% (79/166),5,1,71% (10/14),21% (3/14),46% (13/28),"['3', '3']","['1', '1', '3', '1']",[],[],[],21.0
06.08.,van Loben Sels E.,2,,,,,,"['1', '0']","['2', '2', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.75
06.08.,Magadan A.,1,,,,,,"['1', '1']","['1', '0']",[],[],[],1.96
30.07.,Ponwith N.,2,,,,,,"['6', '5']",[],"['3', '1']",[],[],3.62
30.07.,Magadan A.,1,,,,,,[],"['2', '0', '5', '1']",[],[],[],1.25
16.07.,Bu Y.,2,,,,,,5,4,48%,80% (33/41),45% (20/44),86% (6/7),20% (5/25),55% (24/44),75% (3/4),15,37,57% (4/7),62% (53/85),42% (29/69),53% (82/154),8,0,90% (9/10),30% (3/10),60% (12/20),"['3', '4']","['2', '0', '6', '2']",[],[],[],1.08
16.07.,Magadan A.,0,,,,,,2,4,36%,80% (20/25),45% (20/44),25% (1/4),20% (8/41),55% (24/44),14% (1/7),17,42,100% (6/6),58% (40/69),38% (32/85),47% (72/154),2,1,70% (7/10),10% (1/10),40% (8/20),"['4', '2']",[],[],[],[],8.55
14.07.,Magadan A.,2,,,,,,4,3,51%,75% (18/24),61% (14/23),50% (2/4),40% (14/35),68% (21/31),36% (5/14),17,21,50% (2/4),68% (32/47),53% (35/66),59% (67/113),8,0,78% (7/9),63% (5/8),71% (12/17),"['4', '2', '5', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],7.97
14.07.,Lajal M.,0,,,,,,4,8,53%,60% (21/35),32% (10/31),64% (9/14),25% (6/24),39% (9/23),50% (2/4),12,41,78% (7/9),47% (31/66),32% (15/47),41% (46/113),2,0,38% (3/8),22% (2/9),29% (5/17),"['3', '4']","['2', '4']",[],[],[],1.08
13.07.,Magadan A.,2,,,,,,5,3,57%,70% (43/61),54% (25/46),33% (2/6),28% (16/58),51% (26/51),44% (4/9),31,48,61% (11/18),64% (68/107),39% (42/109),51% (110/216),7,0,76% (13/17),25% (4/16),52% (17/33),"['5', '5']","['4', '2']","['1', '2', '4', '3']",[],[],2.61
13.07.,Bouzige M.,1,,,,,,6,13,53%,72% (42/58),49% (25/51),56% (5/9),30% (18/61),46% (21/46),67% (4/6),27,54,83% (10/12),61% (67/109),36% (39/107),49% (106/216),3,0,75% (12/16),24% (4/17),48% (16/33),"['1', '0', '6', '5']",[],"['2', '0', '4', '4']",[],[],1.45
11.07.,Rybakov A.,2,,,,,,[],"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],1.23
11.07.,Magadan A.,1,,,,,,"['6', '4']",[],[],[],[],3.81
09.07.,Magadan A.,2,,,,,,"['3', '1', '5', '3', '6', '6']","['2', '1', '5', '2']",[],[],[],1.23
09.07.,Ogura K.,0,,,,,,"['3', '4', '4', '5', '6', '5']","['3', '5']",[],[],[],3.81
19.06.,Ghibaudo A.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.33
19.06.,Magadan A.,0,,,,,,[],[],[],[],[],3.09
17.06.,Magadan A.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],1.39
17.06.,Fishback R.,0,,,,,,[],"['2', '4']",[],[],[],2.81
11.06.,Zhou Y.,2,,,,,,"['3', '2', '6', '3']","['4', '2']",[],[],[],1.17
11.06.,Magadan A.,0,,,,,,[],[],[],[],[],4.48
05.06.,Kotzen A.,2,,,,,,"['2', '1', '4', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.59
05.06.,Magadan A.,0,,,,,,"['2', '2']",[],[],[],[],2.24
28.05.,Smith K.,2,,,,,,"['4', '3', '6', '3']","['3', '1', '6', '2']",[],[],[],1.54
28.05.,Magadan A.,0,,,,,,[],[],[],[],[],2.35
23.02.,Kovacevic A.,2,,,,,,5,2,69%,69% (36/52),48% (11/23),33% (2/6),41% (18/44),52% (16/31),86% (6/7),63% (47/75),45% (34/75),54% (81/150),4,0,69% (9/13),46% (6/13),58% (15/26),"['1', '0', '4', '1']","['2', '5']","['2', '0', '4', '0', '5', '1']",[],[],1.04
23.02.,Magadan A.,1,,,,,,1,2,59%,59% (26/44),48% (15/31),14% (1/7),31% (16/52),52% (12/23),67% (4/6),55% (41/75),37% (28/75),46% (69/150),6,1,54% (7/13),31% (4/13),42% (11/26),[],"['2', '0', '5', '1']","['1', '4', '2', '5']",[],[],8.60
10.01.,Rybakov A.,2,,,,,,"['6', '6']","['1', '0', '3', '0', '5', '2']",[],[],[],1.37
10.01.,Magadan A.,0,,,,,,"['6', '5']","['2', '4']",[],[],[],2.89
09.01.,Magadan A.,2,,,,,,"['3', '1', '6', '4']","['3', '1', '5', '3']",[],[],[],1.83
09.01.,Nefve A.,0,,,,,,"['4', '5']","['3', '4']",[],[],[],1.87
08.01.,Magadan A.,2,,,,,,"['3', '3', '6', '4']","['3', '1', '5', '1']",[],[],[],1.29
08.01.,Fernandes R.,0,,,,,,"['3', '2']",[],[],[],[],3.32
28.11.2024,Kodat T.,2,,,,,,10,3,68%,76% (41/54),50% (13/26),50% (2/4),33% (21/64),63% (20/32),42% (5/12),68% (54/80),43% (41/96),54% (95/176),8,0,86% (12/14),36% (5/14),61% (17/28),"['1', '0', '4', '1', '6', '1']","['5', '5']","['5', '3']",[],[],1.34
28.11.2024,Magadan A.,1,,,,,,3,4,67%,67% (43/64),38% (12/32),58% (7/12),24% (13/54),50% (13/26),50% (2/4),57% (55/96),33% (26/80),46% (81/176),2,0,64% (9/14),14% (2/14),39% (11/28),[],"['4', '3', '6', '5']",[],[],[],3.10
