Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/59,56/42,11/13,3/4,-,-
2024,24/18,24/17,0/1,-,-,-
2023,21/20,12/10,8/8,1/2,-,-
2022,16/15,11/9,3/4,2/2,-,-
2021,9/6,9/6,-,-,-,-
