Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,92/88,27/25,56/56,1/3,8/4,-
2024,5/5,-,5/5,-,-,-
2023,15/12,2/4,13/8,-,-,-
2022,0/3,-,0/3,-,-,-
2021,5/9,2/2,3/6,0/1,-,-
2020,9/12,0/1,7/8,1/2,1/1,-
2019,31/22,14/10,14/11,-,3/1,-
2018,10/13,2/2,5/10,-,3/1,-
2017,13/8,3/2,9/5,-,1/1,-
2016,4/4,4/4,-,-,-,-
