Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,74/58,-,69/54,1/1,-,4/3
2024,10/8,-,8/8,-,-,2/0
2023,41/20,-,39/18,1/1,-,1/1
2022,9/9,-,8/8,-,-,1/1
2019,1/4,-,1/3,-,-,0/1
2018,5/7,-,5/7,-,-,-
2017,7/8,-,7/8,-,-,-
2016,1/2,-,1/2,-,-,-
