Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,238/119,56/39,123/50,58/26,1/4,-
2024,22/16,2/5,18/8,1/1,1/2,-
2023,49/24,2/2,41/17,6/3,0/2,-
2022,39/22,3/10,26/8,10/4,-,-
2021,31/25,9/8,13/10,9/7,-,-
2020,18/5,-,6/1,12/4,-,-
2019,56/15,21/5,19/6,16/4,-,-
2018,20/11,16/8,-,4/3,-,-
2017,3/1,3/1,-,-,-,-
