Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,541/458,447/355,51/58,39/37,3/8,1/0
2024,13/24,13/19,0/5,-,-,-
2023,40/34,36/28,3/5,1/0,0/1,-
2022,26/33,24/31,2/1,-,0/1,-
2021,34/28,34/21,0/2,0/4,0/1,-
2020,10/14,10/12,0/1,0/1,-,-
2019,40/30,36/26,1/2,3/1,0/1,-
2018,35/31,29/23,1/2,3/5,2/1,-
2017,30/32,23/20,2/5,4/6,0/1,1/0
2016,46/32,22/17,13/8,11/6,0/1,-
2015,43/19,35/18,-,8/1,-,-
2014,30/30,27/25,3/3,0/2,-,-
2013,31/31,25/20,2/5,4/6,-,-
2012,28/29,21/23,1/1,5/4,1/1,-
2011,59/28,55/26,4/2,-,-,-
2010,40/30,35/23,5/6,0/1,-,-
2009,28/23,19/17,9/6,-,-,-
2008,8/7,3/4,5/3,-,-,-
2007,0/2,0/2,-,-,-,-
2006,0/1,-,0/1,-,-,-
