Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,142/103,126/89,16/14,-,-,-
2024,22/19,16/16,6/3,-,-,-
2023,44/33,42/28,2/5,-,-,-
2022,47/30,43/27,4/3,-,-,-
2021,5/6,5/6,-,-,-,-
2019,2/1,2/1,-,-,-,-
2018,15/11,11/8,4/3,-,-,-
2017,7/3,7/3,-,-,-,-
