Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,58/53,28/18,24/27,-,0/1,6/7
2024,10/10,9/5,1/2,-,-,0/3
2023,5/4,0/3,3/1,-,-,2/0
2022,14/10,8/2,6/5,-,-,0/3
2021,0/2,-,0/2,-,-,-
2020,9/8,-,6/8,-,-,3/0
2019,11/16,2/5,8/9,-,0/1,1/1
2018,9/3,9/3,-,-,-,-
