Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,592/478,235/153,226/199,89/69,35/40,7/17
2024,8/13,5/7,0/5,3/1,-,-
2023,30/30,11/10,5/11,8/4,5/4,1/1
2022,27/25,4/4,16/14,0/3,6/3,1/1
2021,26/26,5/8,13/12,3/3,5/3,-
2020,24/16,2/2,17/11,4/2,-,1/1
2019,29/26,9/6,13/14,2/3,4/3,1/0
2018,27/26,12/6,12/14,2/3,1/3,-
2017,25/24,4/5,17/12,4/3,0/3,0/1
2016,28/23,3/6,18/11,5/3,2/2,0/1
2015,26/27,6/5,13/15,6/3,1/3,0/1
2014,43/31,4/5,22/15,12/7,4/2,1/2
2013,41/28,17/9,15/12,6/4,2/2,1/1
2012,42/30,22/8,15/13,3/6,2/2,0/1
2011,29/28,10/12,9/8,9/4,0/3,1/1
2010,33/29,23/14,8/9,2/4,0/1,0/1
2009,22/29,6/8,10/11,6/4,0/2,0/4
2008,40/24,24/9,10/8,6/4,0/2,0/1
2007,46/18,31/11,8/2,4/3,3/2,-
2006,31/11,24/7,4/1,3/3,-,-
2005,7/8,5/6,1/1,1/1,-,-
2004,8/6,8/5,-,0/1,-,-
