Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.05.,Tiurnev E.,0,,,,,,7,7,64%,64% (32/50),46% (13/28),75% (9/12),13% (5/38),55% (12/22),50% (1/2),58% (45/78),28% (17/60),45% (62/138),4,0,70% (7/10),10% (1/10),40% (8/20),[],"['6', '6']",[],[],[],2.63
16.05.,Arutiunian E.,2,,,,,,"['2', '1']","['2', '1']",[],[],[],2.24
16.05.,Glinka D.,0,,,,,,[],[],[],[],[],1.59
14.05.,Arutiunian E.,2,,,,,,"['2', '1', '5', '2']","['2', '1', '4', '1']",[],[],[],-
14.05.,Jones M.,0,,,,,,[],[],[],[],[],-
14.05.,Arutiunian E.,2,,,,,,"['2', '1', '4', '1']","['1', '2']","['7', '5']",[],[],2.35
14.05.,Colson T.,1,,,,,,[],"['2', '0', '4', '2']",[],[],[],1.54
27.04.,Purtseladze S.,2,,,,,,"['2', '1', '5', '2']","['4', '5', '6', '5']",[],[],[],1.35
27.04.,Arutiunian E.,0,,,,,,[],"['5', '3']",[],[],[],2.99
26.04.,Arutiunian E.,2,,,,,,"['4', '5']","['2', '0', '3', '1', '5', '1']",[],[],[],1.49
26.04.,Dzhavakian Y.,0,,,,,,"['5', '3']","['1', '2', '2', '5']",[],[],[],2.47
25.04.,Arutiunian E.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.49
25.04.,Bassem Sobhy M.,0,,,,,,"['2', '1']",[],[],[],[],2.47
24.04.,Arutiunian E.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0']",[],[],[],1.59
24.04.,Jones B.,0,,,,,,[],[],[],[],[],2.24
17.04.,Purtseladze S.,2,,,,,,"['4', '3']","['6', '5']",[],[],[],1.55
17.04.,Arutiunian E.,0,,,,,,[],[],[],[],[],2.33
16.04.,Arutiunian E.,2,,,,,,"['3', '1', '5', '3']","['1', '0', '4', '1']",[],[],[],1.63
16.04.,Philippov E.,0,,,,,,"['3', '4']",[],[],[],[],2.16
27.03.,Arutiunian E.,2,,,,,,[],"['2', '0']",[],[],[],1.32
27.03.,Bassem Sobhy M.,0,,,,,,[],"['2', '3']",[],[],[],3.14
26.03.,Arutiunian E.,2,,,,,,"['1', '0']","['3', '2']",[],[],[],1.04
26.03.,Poritskyi A.,0,,,,,,[],[],[],[],[],8.60
19.03.,Kravchenko G.,2,,,,,,"['5', '3']","['3', '2']",[],[],[],1.41
19.03.,Arutiunian E.,0,,,,,,[],[],[],[],[],2.62
16.03.,Purtseladze S.,2,,,,,,"['2', '2', '6', '4']","['4', '2']",[],[],[],1.59
16.03.,Arutiunian E.,0,,,,,,"['1', '0']",[],[],[],[],2.24
15.03.,Arutiunian E.,2,,,,,,"['1', '2']","['1', '0']","['2', '1', '4', '1']",[],[],3.26
15.03.,Strombachs R.,1,,,,,,"['2', '0', '6', '4']",[],[],[],[],1.30
14.03.,Arutiunian E.,2,,,,,,"['5', '4']","['6', '5']",[],[],[],1.89
14.03.,Oradini G.,0,,,,,,[],[],[],[],[],1.81
13.03.,Arutiunian E.,2,,,,,,"['1', '0', '5', '2']","['2', '3', '5', '4']",[],[],[],1.08
13.03.,Homola P.,0,,,,,,[],"['2', '0']",[],[],[],6.50
22.02.,Binda A.,2,,,,,,"['2', '0']","['3', '5', '5', '5']","['3', '2', '6', '3']",[],[],1.46
22.02.,Arutiunian E.,1,,,,,,"['4', '5', '6', '5']","['3', '2', '5', '2']",[],[],[],2.56
21.02.,Arutiunian E.,2,,,,,,[],"['4', '2']",[],[],[],1.64
21.02.,Caniato C. A.,0,,,,,,[],[],[],[],[],2.14
20.02.,Arutiunian E.,2,,,,,,"['2', '1']","['3', '4', '6', '5']",[],[],[],1.51
20.02.,Boogaard T.,0,,,,,,[],"['2', '0']",[],[],[],2.42
19.02.,Arutiunian E.,2,,,,,,[],"['3', '4', '4', '5']","['3', '1']",[],[],2.06
19.02.,Bondioli F.,1,,,,,,"['6', '4']","['2', '0', '5', '3']","['3', '4']",[],[],1.68
16.02.,Arutiunian E.,1,,,,,,"['1', '0', '3', '0', '5', '0']",[],[],[],[],2.44
16.02.,Purtseladze S.,0,,,,,,[],[],[],[],[],1.50
15.02.,Arutiunian E.,2,,,,,,"['1', '0']","['3', '2', '5', '4']",[],[],[],2.09
15.02.,Pawelski M.,0,,,,,,[],"['3', '3']",[],[],[],1.68
14.02.,Arutiunian E.,2,,,,,,"['3', '4']","['3', '1']","['1', '0', '5', '2']",[],[],2.09
14.02.,Peliwo F.,1,,,,,,"['4', '2', '5', '3']",[],[],[],[],1.68
13.02.,Arutiunian E.,2,,,,,,"['3', '4']","['3', '1', '5', '1']","['1', '0', '3', '2']",[],[],1.29
13.02.,Almazan Valiente I.,1,,,,,,"['2', '0', '5', '3']",[],"['2', '2']",[],[],3.32
12.02.,Arutiunian E.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['4', '3']",[],[],[],2.81
12.02.,Kivattsev K.,0,,,,,,[],[],[],[],[],1.39
06.02.,Simakin I.,2,,,,,,"['2', '0', '5', '1']",[],"['2', '0']",[],[],1.14
06.02.,Arutiunian E.,1,,,,,,[],[],[],[],[],4.90
05.02.,Arutiunian E.,2,,,,,,"['5', '4']","['3', '2', '4', '3']",[],[],[],1.66
05.02.,Rottoli L.,0,,,,,,[],"['3', '3']",[],[],[],2.11
31.01.,Kivattsev K.,2,,,,,,[],"['2', '2']","['1', '0', '3', '0']",[],[],1.30
31.01.,Arutiunian E.,1,,,,,,"['2', '1']","['1', '0']",[],[],[],3.30
