https://www.tennisexplorer.com/res/img/player/6s2QI3Xs-EcnqKBsF.jpeg
Mpetshi Perricard Giovanni
Country: France
Age: 21 (8. 7. 2003)
Current/Highest rank - singles: 52. / 44.
Current/Highest rank - doubles: 353. / 353.
Sex: man
Plays: right
