Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/14,-,6/8,-,-,10/6
2024,5/3,-,5/3,-,-,-
2023,8/6,-,-,-,-,8/6
2022,2/0,-,-,-,-,2/0
2021,1/5,-,1/5,-,-,-
