Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,416/276,252/127,122/108,13/15,22/21,7/5
2024,15/23,9/9,6/11,-,0/3,-
2023,29/17,16/9,10/6,-,1/1,2/1
2022,24/18,11/6,9/10,-,2/2,2/0
2021,30/19,2/5,24/11,1/1,3/2,-
2020,26/14,16/4,4/7,4/2,-,2/1
2019,40/29,18/10,18/14,1/1,3/3,0/1
2018,38/27,22/9,8/14,0/1,8/3,-
2017,23/30,10/8,12/14,1/3,0/3,0/2
2016,46/32,28/14,11/11,6/5,1/2,-
2015,25/17,19/11,4/5,-,1/1,1/0
2014,44/23,30/17,14/4,0/2,-,-
2013,24/10,19/8,2/1,-,3/1,-
2012,36/8,36/8,-,-,-,-
2011,16/8,16/8,-,-,-,-
2010,0/1,0/1,-,-,-,-
