Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,511/350,397/226,82/85,12/15,13/19,7/5
2023,9/13,4/7,2/4,-,3/2,-
2022,0/1,0/1,-,-,-,-
2021,8/18,2/7,5/6,0/1,0/4,1/0
2020,7/10,3/6,4/4,-,-,-
2019,36/25,21/9,7/10,2/2,4/3,2/1
2018,33/26,20/11,5/7,2/4,4/4,2/0
2017,41/25,29/11,9/7,3/4,-,0/3
2016,16/24,9/10,4/8,1/3,0/2,2/1
2015,58/23,48/17,8/5,-,2/1,-
2014,28/23,23/17,5/6,-,-,-
2013,33/26,27/16,6/7,-,0/3,-
2012,45/23,33/20,8/2,4/1,-,-
2011,43/19,43/19,-,-,-,-
2010,28/22,26/16,2/6,-,-,-
2009,53/21,47/17,6/4,-,-,-
2008,35/21,25/15,10/6,-,-,-
2007,30/21,29/18,1/3,-,-,-
2006,7/6,7/6,-,-,-,-
2005,1/3,1/3,-,-,-,-
