Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.07.,Sinclair C.,1,,,,,,[],"['2', '0', '6', '2']","['2', '0']",[],[],1.26
08.07.,Lee D. H.,1,,,,,,"['5', '4']",[],[],[],[],3.54
02.07.,Tange S.,2,,,,,,"['1', '1', '3', '3', '4', '4', '6', '4']","['2', '0', '5', '1']",[],[],[],3.81
02.07.,Lee D. H.,0,,,,,,"['1', '0', '3', '2', '4', '3']",[],[],[],[],1.23
04.06.,Mochizuki Y.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.76
04.06.,Lee D. H.,0,,,,,,[],"['1', '5']",[],[],[],1.95
29.05.,Shin S.,2,,,,,,"['3', '2', '5', '2']","['1', '0']",[],[],[],1.17
29.05.,Lee D. H.,0,,,,,,[],[],[],[],[],4.48
27.05.,Lee D. H.,2,,,,,,"['1', '1', '3', '1', '4', '2', '6', '4']","['3', '1', '5', '1']",[],[],[],1.30
27.05.,Jeong Y.,0,,,,,,"['1', '0', '2', '3', '3', '4']",[],[],[],[],3.26
23.05.,Kwon S.,1,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0']",[],[],[],1.07
23.05.,Lee D. H.,0,,,,,,[],[],[],[],[],6.65
22.05.,Lee D. H.,2,,,,,,"['3', '4', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],2.66
22.05.,Park U.,0,,,,,,"['2', '0']",[],[],[],[],1.43
20.05.,Lee D. H.,2,,,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['2', '0', '3', '3', '5', '3', '6', '4']",[],[],[],1.24
20.05.,Hwang D.,0,,,,,,"['1', '3']","['1', '2', '3', '2', '4', '5']",[],[],[],3.72
29.04.,Chen X. D.,2,,,,,,"['2', '0', '4', '4']","['1', '0', '3', '2', '5', '2']",[],[],[],3.72
29.04.,Lee D. H.,0,,,,,,"['1', '2', '3', '2']","['1', '1']",[],[],[],1.24
20.04.,Bai Y.,2,,,,,,7,0,62%,67% (34/51),48% (15/31),25% (1/4),36% (15/42),58% (14/24),57% (4/7),60% (49/82),44% (29/66),53% (78/148),7,0,73% (8/11),40% (4/10),57% (12/21),"['2', '2', '5', '3']","['1', '0', '2', '3']",[],[],[],1.28
20.04.,Lee D. H.,0,,,,,,1,2,64%,64% (27/42),42% (10/24),43% (3/7),33% (17/51),52% (16/31),75% (3/4),56% (37/66),40% (33/82),47% (70/148),3,0,60% (6/10),27% (3/11),43% (9/21),"['2', '1']","['1', '1', '3', '1']",[],[],[],3.47
14.04.,Simakin I.,2,,,,,,7,2,56%,72% (21/29),57% (13/23),67% (2/3),56% (19/34),58% (11/19),71% (5/7),65% (34/52),57% (30/53),61% (64/105),8,0,88% (7/8),63% (5/8),75% (12/16),"['2', '0', '3', '1', '6', '2']","['2', '0', '6', '2']",[],[],[],1.19
14.04.,Lee D. H.,0,,,,,,1,3,64%,44% (15/34),42% (8/19),29% (2/7),28% (8/29),43% (10/23),33% (1/3),43% (23/53),35% (18/52),39% (41/105),2,0,38% (3/8),13% (1/8),25% (4/16),"['1', '2']",[],[],[],[],4.41
13.04.,Lee D. H.,2,,,,,,1,7,76%,65% (37/57),50% (9/18),80% (8/10),42% (16/38),52% (16/31),44% (4/9),61% (46/75),46% (32/69),54% (78/144),6,0,80% (8/10),40% (4/10),60% (12/20),"['4', '4', '6', '4']","['3', '1', '6', '4']",[],[],[],2.04
13.04.,Uchida K.,0,,,,,,3,6,55%,58% (22/38),48% (15/31),56% (5/9),35% (20/57),50% (9/18),20% (2/10),54% (37/69),39% (29/75),46% (66/144),4,0,60% (6/10),20% (2/10),40% (8/20),"['2', '1']","['4', '5']",[],[],[],1.71
27.03.,Leong M. W. K.,2,,,,,,"['5', '4']","['2', '1', '4', '1']",[],[],[],1.66
27.03.,Lee D. H.,0,,,,,,[],[],[],[],[],2.11
26.03.,Lee D. H.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['3', '1', '4', '2']",[],[],[],2.69
26.03.,Tokuda R.,0,,,,,,"['2', '2']","['2', '3']",[],[],[],1.42
18.03.,Ferguson C.,2,,,,,,"['3', '1']","['3', '2', '5', '2']",[],[],[],2.14
18.03.,Lee D. H.,0,,,,,,[],[],[],[],[],1.64
12.03.,Lobanov A.,2,,,,,,"['1', '2', '3', '4', '4', '5']","['1', '0', '3', '0', '5', '2']","['4', '3']",[],[],1.23
12.03.,Lee D. H.,1,,,,,,"['2', '0', '3', '1', '5', '3', '6', '4']","['1', '3']",[],[],[],3.81
05.03.,Ehrenschneider N.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['1', '1', '3', '1', '5', '1']",[],[],[],1.41
05.03.,Lee D. H.,0,,,,,,"['1', '0']","['1', '0']",[],[],[],2.73
28.02.,Castelnuovo L.,2,,,,,,[],"['1', '1', '3', '1', '4', '2']","['3', '2', '5', '4']",[],[],2.24
28.02.,Lee D. H.,1,,,,,,"['3', '2']","['1', '0', '2', '3']","['3', '3', '5', '5']",[],[],1.59
27.02.,Lee D. H.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0']",[],[],[],1.33
