Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/85,23/30,43/51,0/4,-,-
2024,19/20,0/1,19/19,-,-,-
2023,23/31,6/10,17/19,0/2,-,-
2022,20/24,15/15,5/8,0/1,-,-
2021,4/10,2/4,2/5,0/1,-,-
