Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,95/75,-,36/27,59/46,0/2,-
2024,9/10,-,7/5,2/5,-,-
2023,24/22,-,8/10,16/12,-,-
2022,31/22,-,21/12,10/9,0/1,-
2021,21/15,-,-,21/15,-,-
2020,10/5,-,-,10/5,-,-
2018,0/1,-,-,-,0/1,-
