Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.07.,Araujo P.,2,,,,,,[],"['2', '2', '4', '2']","['1', '0', '3', '2', '6', '3']",[],[],1.58
03.07.,Domingues J.,1,,,,,,"['2', '1', '4', '1']","['1', '0']","['1', '1']",[],[],2.26
02.07.,Domingues J.,2,,,,,,"['2', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.28
02.07.,Graca J.,0,,,,,,[],[],[],[],[],3.40
29.05.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '3']",[],[],[],1.72
29.05.,Domingues J.,0,,,,,,[],"['2', '3']",[],[],[],2.00
28.05.,Domingues J.,2,,,,,,[],"['3', '3', '5', '3']","['1', '0', '4', '1']",[],[],2.04
28.05.,Sperle J.,1,,,,,,"['5', '3']","['3', '2']",[],[],[],1.69
22.05.,Sanchez Izquierdo N.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '4', '1']",[],[],[],1.17
22.05.,Domingues J.,0,,,,,,[],[],[],[],[],4.53
21.05.,Domingues J.,2,,,,,,"['2', '0', '5', '1']","['3', '2']","['2', '2', '4', '2', '5', '3']",[],[],-
21.05.,Bueno Gil A.,1,,,,,,[],"['3', '3', '5', '3']","['1', '0', '3', '4']",[],[],-
13.05.,Vasa E.,2,,,,,,4,2,53%,76% (19/25),64% (14/22),100% (2/2),45% (15/33),71% (12/17),56% (5/9),70% (33/47),54% (27/50),62% (60/97),7,0,100% (7/7),63% (5/8),80% (12/15),"['2', '1', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],2.54
13.05.,Domingues J.,0,,,,,,0,3,66%,55% (18/33),29% (5/17),44% (4/9),24% (6/25),36% (8/22),0% (0/2),46% (23/50),30% (14/47),38% (37/97),3,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],1.52
12.05.,Riedi L.,2,,,,,,2,2,59%,61% (40/66),62% (28/45),78% (7/9),39% (22/57),54% (22/41),50% (5/10),61% (68/111),45% (44/98),54% (112/209),6,0,87% (13/15),33% (5/15),60% (18/30),[],"['2', '0', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.59
12.05.,Domingues J.,1,,,,,,2,3,58%,61% (35/57),46% (19/41),50% (5/10),39% (26/66),38% (17/45),22% (2/9),55% (54/98),39% (43/111),46% (97/209),4,0,67% (10/15),13% (2/15),40% (12/30),"['6', '5']","['2', '3']",[],[],[],2.11
11.05.,Domingues J.,2,,,,,,1,1,50%,79% (19/24),63% (15/24),0% (0/0),38% (11/29),62% (13/21),67% (4/6),71% (34/48),48% (24/50),59% (58/98),8,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.72
11.05.,Fanselow S.,0,,,,,,0,3,58%,62% (18/29),38% (8/21),33% (2/6),21% (5/24),38% (9/24),0% (0/0),52% (26/50),29% (14/48),41% (40/98),2,2,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.03
25.04.,Callejon H. S.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.68
25.04.,Domingues J.,0,,,,,,[],[],[],[],[],2.06
24.04.,Domingues J.,1,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '0']",[],[],[],1.01
24.04.,Kopilevich D.,0,,,,,,[],[],[],[],[],11.20
22.04.,Domingues J.,2,,,,,,"['1', '1', '4', '2']","['2', '1', '6', '5']",[],[],[],1.12
22.04.,Gil Garcia A.,0,,,,,,"['1', '0']","['3', '3', '6', '6']",[],[],[],5.40
13.04.,Moro Canas A.,2,,,,,,0,5,70%,84% (26/31),31% (4/13),67% (2/3),52% (16/31),61% (14/23),63% (5/8),68% (30/44),56% (30/54),61% (60/98),8,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '4', '1']","['2', '1', '4', '1', '5', '2']",[],[],[],1.23
13.04.,Domingues J.,0,,,,,,0,2,57%,48% (15/31),39% (9/23),38% (3/8),16% (5/31),69% (9/13),33% (1/3),44% (24/54),32% (14/44),39% (38/98),2,0,38% (3/8),13% (1/8),25% (4/16),[],"['2', '4']",[],[],[],3.90
19.10.2024,Onclin G.,2,,,,,,"['2', '0', '6', '2']","['3', '3', '5', '3']",[],[],[],1.47
19.10.2024,Domingues J.,0,,,,,,[],"['1', '0']",[],[],[],2.53
18.10.2024,Domingues J.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['4', '4']",[],[],[],1.17
18.10.2024,Curras Abasolo T.,0,,,,,,[],"['2', '1']",[],[],[],4.48
17.10.2024,Domingues J.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '5', '2']",[],[],[],1.13
17.10.2024,Turriziani Alvarez A.,0,,,,,,[],[],[],[],[],5.16
10.10.2024,Karlovskiy E.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '3', '0', '5', '2']",[],[],[],-
10.10.2024,Domingues J.,0,,,,,,"['1', '1']","['1', '3', '3', '5']",[],[],[],-
