Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,420/319,256/210,158/97,2/8,0/3,4/1
2024,24/17,11/8,12/7,1/2,-,-
2023,14/24,5/15,8/7,1/2,-,-
2022,25/28,24/22,1/4,0/2,-,-
2021,11/28,11/24,0/3,-,0/1,-
2020,6/11,5/10,1/1,-,-,-
2019,29/28,26/23,3/2,0/1,0/1,0/1
2018,27/30,26/28,0/2,-,-,1/0
2017,56/21,41/14,14/5,0/1,0/1,1/0
2016,54/20,32/12,21/8,-,-,1/0
2015,40/26,19/12,20/14,-,-,1/0
2014,37/27,11/11,26/16,-,-,-
2013,51/23,19/9,32/14,-,-,-
2012,30/20,15/11,15/9,-,-,-
2011,8/7,5/4,3/3,-,-,-
2010,6/6,4/4,2/2,-,-,-
2009,1/2,1/2,-,-,-,-
2008,1/1,1/1,-,-,-,-
