Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.05.,Georgiev G.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '3', '2', '6', '5']",[],[],[],1.43
30.05.,Petrov A.,0,,,,,,[],"['2', '2', '4', '4']",[],[],[],2.66
28.05.,Petrov A.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.09
28.05.,Duran C. T.,0,,,,,,"['1', '1']",[],[],[],[],6.05
19.02.,Klizan M.,2,,,,,,[],"['1', '0', '3', '0', '5', '0']","['3', '2', '5', '2']",[],[],1.26
19.02.,Petrov A.,1,,,,,,"['2', '1', '6', '3']",[],[],[],[],3.54
06.02.,Lapalu V.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['5', '3', '6', '4']",[],[],[],2.56
06.02.,Petrov A.,0,,,,,,[],"['4', '5']",[],[],[],1.46
04.02.,Petrov A.,2,,,,,,"['3', '3', '7', '5']","['1', '1', '5', '3']",[],[],[],1.44
04.02.,Moret J.,0,,,,,,"['3', '2']","['1', '0']",[],[],[],2.62
29.01.,Beauge M.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['4', '4', '7', '5']",[],[],[],1.25
29.01.,Petrov A.,0,,,,,,[],"['4', '3']",[],[],[],3.62
15.01.,Petrov A.,2,,,,,,"['2', '1', '6', '5']","['2', '0', '5', '3']",[],[],[],1.12
15.01.,Larue L.,0,,,,,,"['5', '5', '6', '6']","['1', '2']",[],[],[],5.35
12.12.2024,Schachter N.,2,,,,,,"['2', '0', '3', '1']","['2', '1', '5', '2']",[],[],[],1.63
12.12.2024,Petrov A.,0,,,,,,"['1', '2']","['3', '5']",[],[],[],2.16
10.12.2024,Petrov A.,2,,,,,,"['1', '0']","['2', '2', '4', '2']",[],[],[],1.01
10.12.2024,Ochoa A.,0,,,,,,"['5', '5']","['1', '0']",[],[],[],11.20
04.12.2024,Tudorica A. N.,2,,,,,,"['1', '3', '4', '4', '5', '5', '7', '5']","['2', '0', '3', '1', '7', '5']",[],[],[],1.24
04.12.2024,Petrov A.,0,,,,,,"['1', '0', '3', '0', '5', '4']","['1', '2', '4', '5']",[],[],[],3.72
26.11.2024,Strode E.,2,,,,,,"['7', '5']",[],"['2', '1', '4', '1']",[],[],2.20
26.11.2024,Petrov A.,1,,,,,,[],"['1', '0', '4', '1', '6', '1']",[],[],[],1.61
13.11.2024,Elsayed A.,2,,,,,,"['4', '3', '6', '3']","['3', '3', '5', '3']",[],[],[],1.59
13.11.2024,Petrov A.,0,,,,,,[],"['2', '1']",[],[],[],2.24
