Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/42,12/13,36/27,-,-,3/2
2024,28/22,8/8,20/14,-,-,-
2023,17/13,-,14/11,-,-,3/2
2022,2/2,-,2/2,-,-,-
2021,1/0,1/0,-,-,-,-
2018,0/2,0/2,-,-,-,-
2015,3/3,3/3,-,-,-,-
