Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/26,3/7,30/18,-,-,6/1
2024,6/4,2/4,-,-,-,4/0
2023,17/11,1/3,14/8,-,-,2/0
2022,6/9,-,6/8,-,-,0/1
2021,10/2,-,10/2,-,-,-
