Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,388/286,357/247,23/35,-,0/1,8/3
2024,0/1,-,0/1,-,-,-
2023,19/30,16/26,3/4,-,-,-
2022,39/29,39/28,-,-,0/1,-
2021,49/19,49/18,0/1,-,-,-
2020,21/16,20/12,1/4,-,-,-
2019,14/10,8/6,6/4,-,-,-
2018,16/18,16/16,0/1,-,-,0/1
2017,34/19,34/19,-,-,-,-
2016,28/22,23/19,1/2,-,-,4/1
2015,53/29,51/26,0/3,-,-,2/0
2014,33/25,31/20,0/4,-,-,2/1
2013,46/19,44/18,2/1,-,-,-
2012,21/30,14/22,7/8,-,-,-
2011,14/14,11/12,3/2,-,-,-
2010,1/3,1/3,-,-,-,-
2009,0/1,0/1,-,-,-,-
2008,0/1,0/1,-,-,-,-
