Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,793/492,292/200,311/161,118/92,59/32,13/7
2024,26/24,10/7,8/11,1/2,7/4,-
2023,22/26,8/8,9/7,2/8,3/3,-
2022,39/20,5/3,17/9,6/5,6/2,5/1
2021,29/25,7/7,14/10,4/5,4/3,-
2020,25/14,8/5,13/4,3/4,1/1,-
2019,43/23,8/7,22/10,3/2,8/3,2/1
2018,35/21,11/6,15/8,6/4,3/1,0/2
2017,50/22,12/7,23/8,7/4,6/3,2/0
2016,49/23,9/5,28/11,7/5,3/2,2/0
2015,42/29,13/9,12/11,13/6,3/3,1/0
2014,48/23,14/5,18/11,8/3,7/1,1/3
2013,34/28,10/8,12/10,9/8,3/2,-
2012,62/27,24/11,16/5,20/10,2/1,-
2011,37/34,15/14,7/7,13/12,2/1,-
2010,44/30,5/9,25/7,13/12,1/2,-
2009,53/25,30/15,20/8,3/2,-,-
2008,44/28,28/22,16/6,-,-,-
2007,52/24,35/17,17/7,-,-,-
2006,8/9,3/5,5/4,-,-,-
2005,20/14,13/9,7/5,-,-,-
2004,20/11,15/10,5/1,-,-,-
2003,10/11,8/10,2/1,-,-,-
2002,1/1,1/1,-,-,-,-
