Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,374/288,40/41,261/182,57/49,7/9,9/7
2024,24/16,-,17/10,6/6,-,1/0
2023,21/28,0/2,8/12,9/10,3/3,1/1
2022,27/30,4/6,13/13,8/8,0/2,2/1
2021,43/24,1/2,23/11,15/9,3/2,1/0
2020,25/16,17/10,3/2,4/4,-,1/0
2019,45/21,2/2,36/15,4/3,1/1,2/0
2018,41/23,1/1,34/17,6/2,-,0/3
2017,43/29,8/8,31/17,3/2,0/1,1/1
2016,41/29,5/4,36/24,-,-,0/1
2015,30/34,1/3,29/29,0/2,-,-
2014,25/24,1/1,24/22,0/1,-,-
2013,6/10,0/1,5/8,1/1,-,-
2012,3/4,0/1,2/2,1/1,-,-
