Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,119/65,36/23,62/27,21/15,-,-
2024,32/17,8/6,22/7,2/4,-,-
2023,37/25,9/9,17/10,11/6,-,-
2022,43/16,19/7,19/7,5/2,-,-
2021,7/7,0/1,4/3,3/3,-,-
