Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/12,11/4,4/6,-,-,1/2
2024,14/8,11/3,3/3,-,-,0/2
2023,1/1,-,0/1,-,-,1/0
2022,1/2,0/1,1/1,-,-,-
2019,0/1,-,0/1,-,-,-
