Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/18,4/8,-,6/10,-,-
2024,8/10,3/5,-,5/5,-,-
2023,1/6,0/2,-,1/4,-,-
2022,1/2,1/1,-,0/1,-,-
