Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/24,-,16/24,-,-,-
2024,3/7,-,3/7,-,-,-
2023,7/11,-,7/11,-,-,-
2022,6/6,-,6/6,-,-,-
