https://www.tennisexplorer.com/res/img/player/EyiUUwFm-QZSiwIZd.jpeg
Sabalenka Aryna
Country: Belarus
Height / Weight: 182 cm / 80 kg
Age: 26 (5. 5. 1998)
Current/Highest rank - singles: 2. / 1.
Current/Highest rank - doubles: - / 1.
Sex: woman
Plays: right
