Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,539/219,88/49,241/77,146/67,56/24,8/2
2024,39/14,11/5,22/7,-,6/2,-
2023,66/20,10/3,38/8,11/6,7/3,-
2022,47/20,3/2,26/8,10/7,8/3,-
2021,63/13,5/3,33/5,13/3,7/2,5/0
2020,28/10,0/2,14/4,14/4,-,-
2019,62/21,8/5,34/8,14/5,5/3,1/0
2018,53/25,1/5,27/9,19/6,4/4,2/1
2017,28/28,0/4,8/11,10/8,10/4,0/1
2016,69/27,13/7,15/6,32/11,9/3,-
2015,53/26,17/8,23/10,13/8,-,-
2014,25/9,20/4,1/1,4/4,-,-
2013,1/2,-,-,1/2,-,-
2012,2/2,-,-,2/2,-,-
2011,3/2,0/1,-,3/1,-,-
