Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,36/42,17/16,19/26,-,-,-
2023,21/15,13/6,8/9,-,-,-
2022,2/7,-,2/7,-,-,-
2021,3/10,2/7,1/3,-,-,-
2019,10/8,2/3,8/5,-,-,-
2018,0/2,-,0/2,-,-,-
